"ChIJUf8LaImUC0cRLsFDolOXLKg","MindMaze Prague","Prague","CZ","https://lh3.googleusercontent.com/p/AF1QipMt4xrpLN8CaFAU1Qbu86gH8bnBGt6tzR7M1OX-=s1600-w500","Tyršova 9, 120 00 Nové Město, Czechia","4.80",NULL,NULL
"ChIJW08COB6VC0cRoonZ8lA4rWk","St. Vitus Cathedral","Prague","CZ","https://lh3.googleusercontent.com/p/AF1QipPBmyrk225fhjNEYo9vfl_bIOk6-XO8b2ygrSiJ=s1600-w500","III. nádvoří 48/2, 119 01 Praha 1, Czechia","4.70",NULL,NULL
"ChIJ_9hlpuaUC0cRFyqldrQ5cb0","The narrowest street of Prague","Prague","CZ","https://lh3.googleusercontent.com/p/AF1QipM4WjaVX7q0X3WW6O4PuIsizwO_euDzID69Qgav=s1600-w500","U Lužického semináře, 118 00 Prague 1-Malá Strana-Malá Strana, Czechia","4.10",NULL,NULL
"ChIJBfIPBeuUC0cRphNG7F-4SZM","The Powder Tower","Prague","CZ","https://lh3.googleusercontent.com/p/AF1QipN4vMtocqnM06On4bxtGsBS6sz6ouxyMY_olkQq=s1600-w500","nám. Republiky 5, 110 00 Staré Město, Czechia","4.50",NULL,NULL
"ChIJVTa4MOmUC0cR1WjVAxfAAws","Old Town Hall","Prague","CZ","https://lh3.googleusercontent.com/p/AF1QipOj_X-b9jxQmxuWvin5QYdhnzGt6xDdhxBPArvl=s1600-w500","Staroměstské nám. 1/3, 110 00 Staré Město, Czechia","4.60",NULL,NULL
"ChIJPcZDEMKUC0cRKgBCUsMQwBU","The smallest house in Prague","Prague","CZ","https://lh3.googleusercontent.com/p/AF1QipNUKWS6m0HFDnDF2oEJkNLsMdCEgyhBqU2QjZ1o=s1600-w500","Anežská 1043/4, 110 00 Staré Město, Czechia","3.90",NULL,NULL
"ChIJ6xqyXuWUC0cRC5V8FjQdHyY","Water Zorbing Prague","Prague","CZ","https://lh3.googleusercontent.com/p/AF1QipMG5l15vHT_O7J0hCekNhPnmVSDan4cXM62cmgV=s1600-w500","Smetanovo nábř., 110 00 Staré Město, Czechia","4.40",NULL,NULL
"ChIJNUIyNe-UC0cRnw1-EJKuNLI","Clementinum","Prague","CZ","https://lh3.googleusercontent.com/p/AF1QipOJrCNwRdER0gybYjDnbw6AJHieNL9L1n4sTz4V=s1600-w500","Mariánské nám. 5, 110 00 Staré Město, Czechia","4.30",NULL,NULL
"ChIJczIeIzuVC0cRflGKUlWWozw","eForce FEE Prague Formula","Prague","CZ","https://lh3.googleusercontent.com/p/AF1QipMNjGCc1IAbYZkaGl2Df_qmW0Jr5v4LDxLizWVG=s1600-w500","1902/, Technická 1902/2, 160 00 Praha, Czechia","5.00",NULL,NULL
"ChIJ1XcuBd2UC0cRmArvNbWmjws","Prague Metronome","Prague","CZ","https://lh3.googleusercontent.com/p/AF1QipNEQNW28WxBVO81QJbaeTgS0VNnxK1ou-vvuuvr=s1600-w500","Nábřeží Edvarda Beneše, 118 00 Praha 7, Czechia","4.30",NULL,NULL
"ChIJ8dLze-mUC0cR6WuDQLy3VtA","Prague Trips & Tickets","Prague","CZ",,"Týnská 627/7, 110 00 Staré Město, Czechia","3.70",NULL,NULL
"ChIJjzZaLB6VC0cRxNlBNtYnc9s","St. George's Basilica","Prague","CZ","https://lh3.googleusercontent.com/p/AF1QipPfqXrzP5SDI2GpaU-9WvQUgwhhBAubHjCMqYwy=s1600-w500","119 08 Prague 1, Czechia","4.30",NULL,NULL
"ChIJ788EpH6UC0cRA66suX9jTnU","Pražský řezník – Úniková hra | The Prague Butcher – Escape game Prague","Prague","CZ","https://lh3.googleusercontent.com/p/AF1QipO9jCSlPqet2CYABC_ftCFwJdoArYbMsiG1cAsd=s1600-w500","Sezimova 458/12, 140 00 Praha 4-Nusle, Czechia","5.00",NULL,NULL
"ChIJ0bbnkpKUC0cRSlHAwPodTNs","Úniková hra Praha EscapeX","Prague","CZ","https://lh3.googleusercontent.com/p/AF1QipMJS3hEpFtadq61E-9jmaigIL2al5N3sPGrllM=s1600-w500","Opletalova 921/6, 110 00 Nové Město, Czechia","4.70",NULL,NULL
"ChIJnzLnCMcEdkgRioLEm8rT_aA","Shrek's Adventure","London","UK","https://lh3.googleusercontent.com/p/AF1QipNe3bWNXOVqG9MAuwW6bjII-VDBVJjn6m0r8B--=s1600-w500","Riverside Building, County Hall, Westminster Bridge Rd, Lambeth, London SE1 7PB, UK","4.00",NULL,NULL
"ChIJU88VcScFdkgR3nJPHAxWuIM","The Royal Mews, Buckingham Palace","London","UK","https://lh3.googleusercontent.com/p/AF1QipP0sY7aJNeRSBxLWIg0D9o9jlpX35kj3cp-FNNc=s1600-w500","Buckingham Palace Road, London SW1W 0QH, United Kingdom","4.40",NULL,NULL
"ChIJC0iNWhyo2EcRlULWiGI64K8","Up at The O2","London","UK","https://lh3.googleusercontent.com/p/AF1QipPnQ81cfGKeoujWQm0dPe6NmlJmm_a9ltFQTkoA=s1600-w500","Peninsula Square, London SE10 0DX, UK","4.70",NULL,NULL
"ChIJAcVkt8cEdkgRMppkB6-eoGE","London Eye River Cruise","London","UK","https://lh3.googleusercontent.com/p/AF1QipOzT6niNAE0jwf0dzFk3v5fOf6j3sofFZ6Ru5wd=s1600-w500","The Queen's Walk, Lambeth, London SE1 7PB, UK","4.60",NULL,NULL
"ChIJk9LIC8cEdkgR2TkO-raMEDk","The London Dungeon","London","UK","https://lh3.googleusercontent.com/p/AF1QipP8luN8GzNhxjwA_dLhXzkqABmDkzpOOsb5vo-C=s1600-w500","Riverside Building, County Hall, Westminster Bridge Rd, Lambeth, London SE1 7PB, UK","4.20",NULL,NULL
"ChIJvezzr88EdkgRAxHrEPdiLiY","Banqueting House","London","UK","https://lh3.googleusercontent.com/p/AF1QipMpBvb5BqAvgCIfwpmc3Bg1JzF8GTPPf-XMbLFn=s1600-w500","Whitehall, Westminster, London SW1A 2ER, UK","4.40",NULL,NULL
"ChIJDbhTs1ADdkgR-2MjTkoJXXg","The View from The Shard","London","UK","https://lh3.googleusercontent.com/p/AF1QipM1JO5cruE6O0ZxrbSC6JUKxb-hFs_QJ0s2qlva=s1600-w500","32 London Bridge St, London SE1 9SG, UK","4.50",NULL,NULL
"ChIJ48rSzqocdkgRH9x2NZRo6_M","London's Roman Amphitheatre","London","UK","https://lh3.googleusercontent.com/p/AF1QipP0tf51atLPytCHDi223gQETnPO6E8P_38UVh3i=s1600-w500","Guildhall Yard, London EC2V 5AE, UK","4.50",NULL,NULL
